[¡] U+00A1 Po         INVERTED EXCLAMATION MARK
[¤] U+00A4 Sc         CURRENCY SIGN
[§] U+00A7 Po         SECTION SIGN
[¨] U+00A8 Sk         DIAERESIS
[ª] U+00AA Lo         FEMININE ORDINAL INDICATOR
[­] U+00AD Cf         SOFT HYPHEN
[®] U+00AE So         REGISTERED SIGN
[°] U+00B0 So         DEGREE SIGN
[±] U+00B1 Sm         PLUS-MINUS SIGN
[²] U+00B2 No     [2] SUPERSCRIPT TWO..SUPERSCRIPT THREE
[³] U+00B3 No     [2] SUPERSCRIPT TWO..SUPERSCRIPT THREE
[´] U+00B4 Sk         ACUTE ACCENT
[¶] U+00B6 Po     [2] PILCROW SIGN..MIDDLE DOT
[·] U+00B7 Po     [2] PILCROW SIGN..MIDDLE DOT
[¸] U+00B8 Sk         CEDILLA
[¹] U+00B9 No         SUPERSCRIPT ONE
[º] U+00BA Lo         MASCULINE ORDINAL INDICATOR
[¼] U+00BC No     [3] VULGAR FRACTION ONE QUARTER..VULGAR FRACTION THREE QUARTERS
[½] U+00BD No     [3] VULGAR FRACTION ONE QUARTER..VULGAR FRACTION THREE QUARTERS
[¾] U+00BE No     [3] VULGAR FRACTION ONE QUARTER..VULGAR FRACTION THREE QUARTERS
[¿] U+00BF Po         INVERTED QUESTION MARK
[Æ] U+00C6 Lu         LATIN CAPITAL LETTER AE
[Ð] U+00D0 Lu         LATIN CAPITAL LETTER ETH
[×] U+00D7 Sm         MULTIPLICATION SIGN
[Ø] U+00D8 Lu         LATIN CAPITAL LETTER O WITH STROKE
[Þ] U+00DE L&     [4] LATIN CAPITAL LETTER THORN..LATIN SMALL LETTER A WITH ACUTE
[ß] U+00DF L&     [4] LATIN CAPITAL LETTER THORN..LATIN SMALL LETTER A WITH ACUTE
[à] U+00E0 L&     [4] LATIN CAPITAL LETTER THORN..LATIN SMALL LETTER A WITH ACUTE
[á] U+00E1 L&     [4] LATIN CAPITAL LETTER THORN..LATIN SMALL LETTER A WITH ACUTE
[æ] U+00E6 Ll         LATIN SMALL LETTER AE
[è] U+00E8 Ll     [3] LATIN SMALL LETTER E WITH GRAVE..LATIN SMALL LETTER E WITH CIRCUMFLEX
[é] U+00E9 Ll     [3] LATIN SMALL LETTER E WITH GRAVE..LATIN SMALL LETTER E WITH CIRCUMFLEX
[ê] U+00EA Ll     [3] LATIN SMALL LETTER E WITH GRAVE..LATIN SMALL LETTER E WITH CIRCUMFLEX
[ì] U+00EC Ll     [2] LATIN SMALL LETTER I WITH GRAVE..LATIN SMALL LETTER I WITH ACUTE
[í] U+00ED Ll     [2] LATIN SMALL LETTER I WITH GRAVE..LATIN SMALL LETTER I WITH ACUTE
[ð] U+00F0 Ll         LATIN SMALL LETTER ETH
[ò] U+00F2 Ll     [2] LATIN SMALL LETTER O WITH GRAVE..LATIN SMALL LETTER O WITH ACUTE
[ó] U+00F3 Ll     [2] LATIN SMALL LETTER O WITH GRAVE..LATIN SMALL LETTER O WITH ACUTE
[÷] U+00F7 Sm         DIVISION SIGN
[ø] U+00F8 Ll     [3] LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER U WITH ACUTE
[ù] U+00F9 Ll     [3] LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER U WITH ACUTE
[ú] U+00FA Ll     [3] LATIN SMALL LETTER O WITH STROKE..LATIN SMALL LETTER U WITH ACUTE
[ü] U+00FC Ll         LATIN SMALL LETTER U WITH DIAERESIS
[þ] U+00FE Ll         LATIN SMALL LETTER THORN
[ā] U+0101 Ll         LATIN SMALL LETTER A WITH MACRON
[đ] U+0111 Ll         LATIN SMALL LETTER D WITH STROKE
[ē] U+0113 Ll         LATIN SMALL LETTER E WITH MACRON
[ě] U+011B Ll         LATIN SMALL LETTER E WITH CARON
[Ħ] U+0126 L&     [2] LATIN CAPITAL LETTER H WITH STROKE..LATIN SMALL LETTER H WITH STROKE
